path	emotion	database	name
./datasets/shemo-persian-speech-emotion-detection-database/female/F24A55.wav	anger	shemo	F24A55.wav
./datasets/cremad/AudioWAV/1019_TAI_NEU_XX.wav	neutral	cremad	1019_TAI_NEU_XX.wav
./datasets/shemo-persian-speech-emotion-detection-database/male/M03A15.wav	anger	shemo	M03A15.wav
./datasets/cremad/AudioWAV/1036_WSI_SAD_XX.wav	sadness	cremad	1036_WSI_SAD_XX.wav
./datasets/shemo-persian-speech-emotion-detection-database/male/M27N22.wav	neutral	shemo	M27N22.wav
./datasets/shemo-persian-speech-emotion-detection-database/male/M16H07.wav	happy	shemo	M16H07.wav
./datasets/cremad/AudioWAV/1091_TSI_NEU_XX.wav	neutral	cremad	1091_TSI_NEU_XX.wav
./datasets/toronto-emotional-speech-set-tess/TESS Toronto emotional speech set data/YAF_happy/YAF_gaze_happy.wav	happy	tess	YAF_gaze_happy.wav
./datasets/savee-database/AudioData/JK/n09.wav	neutral	savee	n09.wav
./datasets/shemo-persian-speech-emotion-detection-database/male/M02N01.wav	neutral	shemo	M02N01.wav
./datasets/shemo-persian-speech-emotion-detection-database/male/M04A10.wav	anger	shemo	M04A10.wav
./datasets/toronto-emotional-speech-set-tess/TESS Toronto emotional speech set data/YAF_angry/YAF_sub_angry.wav	anger	tess	YAF_sub_angry.wav
./datasets/shemo-persian-speech-emotion-detection-database/female/F07A23.wav	anger	shemo	F07A23.wav
./datasets/shemo-persian-speech-emotion-detection-database/male/M40N47.wav	neutral	shemo	M40N47.wav
./datasets/cremad/AudioWAV/1009_IEO_HAP_MD.wav	happy	cremad	1009_IEO_HAP_MD.wav
./datasets/cremad/AudioWAV/1070_DFA_SAD_XX.wav	sadness	cremad	1070_DFA_SAD_XX.wav
./datasets/cremad/AudioWAV/1012_TSI_NEU_XX.wav	neutral	cremad	1012_TSI_NEU_XX.wav
./datasets/cremad/AudioWAV/1040_TAI_SAD_XX.wav	sadness	cremad	1040_TAI_SAD_XX.wav
./datasets/shemo-persian-speech-emotion-detection-database/male/M26N09.wav	neutral	shemo	M26N09.wav
./datasets/shemo-persian-speech-emotion-detection-database/male/M47N21.wav	neutral	shemo	M47N21.wav
./datasets/cremad/AudioWAV/1081_ITS_ANG_XX.wav	anger	cremad	1081_ITS_ANG_XX.wav
./datasets/cremad/AudioWAV/1013_IEO_ANG_LO.wav	anger	cremad	1013_IEO_ANG_LO.wav
./datasets/berlin-database-of-emotional-speech-emodb/wav/15a01Nb.wav	neutral	emodb	15a01Nb.wav
./datasets/cremad/AudioWAV/1027_ITH_HAP_XX.wav	happy	cremad	1027_ITH_HAP_XX.wav
./datasets/cremad/AudioWAV/1085_IWW_SAD_XX.wav	sadness	cremad	1085_IWW_SAD_XX.wav
./datasets/cremad/AudioWAV/1052_TAI_NEU_XX.wav	neutral	cremad	1052_TAI_NEU_XX.wav
./datasets/shemo-persian-speech-emotion-detection-database/male/M40N52.wav	neutral	shemo	M40N52.wav
./datasets/shemo-persian-speech-emotion-detection-database/male/M04N82.wav	neutral	shemo	M04N82.wav
